File_name,signal,trap,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting x position [metres],Starting y position [metres],Starting z position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_1f799c5e-076b-4a87-b85a-c5906c46e813.h5,signal1,Harmonic,1.0048571427712552,27009734816.023495,117897215.21832657,18575.0,26891837600.80517,89.5,-0.0031739538418540576,0.0001702185992140729,0.0,[-16489148.43776047  76953865.62866198   -686810.00908256],1e-09,496.02352650771275,154.60765618550025,0.02,0.005
out_25eb5703-b320-4ba2-8fa1-c6b5710592ea.h5,signal1,Harmonic,1.0048571427712552,27009478426.16414,117640825.35897064,18575.0,26891837600.80517,89.5,-0.0016983045831353307,-0.0019443487411034258,0.0,[78624137.34914416  3469074.44422491   686810.00908256],1e-09,496.0269806473396,154.60765618550025,0.02,0.005
out_c4a58660-692a-41f9-953b-0c79da50fff3.h5,signal1,Harmonic,1.0048571427712552,27010791928.76879,118954327.96362305,18575.0,26891837600.80517,89.5,-0.0008361785760064342,0.0011068780513637498,0.0,[-64156329.078336   -45582396.71834862   -686810.00908256],1e-09,496.00928665700417,154.60765618550025,0.02,0.005
out_77540d53-ad33-4dc0-9a7c-c6dfc359f2b9.h5,signal1,Harmonic,1.0048571427712552,27008655331.693893,116817730.88872528,18575.0,26891837600.80517,89.5,0.0033000401786571977,0.002010655138820662,0.0,[ 53063098.51608043 -58121399.04776384    686810.00908256],1e-09,496.0380707065884,154.60765618550025,0.02,0.005
out_f3ce1cd3-8635-490b-b9c8-e879404ff6b3.h5,signal1,Harmonic,1.0048571427712552,27008995974.277046,117158373.47187805,18575.0,26891837600.80517,89.5,-0.0029063194294376028,0.0005081096114515735,0.0,[ 56025377.40173396 -55271570.79720042    686810.00908256],1e-09,496.033480805857,154.60765618550025,0.02,0.005
out_0b19bcee-cf7e-43b2-a6ef-e2400fb9794c.h5,signal1,Harmonic,1.0048571427712552,27009346072.199257,117508471.39408875,18575.0,26891837600.80517,89.5,0.002839655753713441,0.000560756607096215,0.0,[73010336.75092654 29381629.95670876   686810.00908256],1e-09,496.0287638153121,154.60765618550025,0.02,0.005
out_dca76dfa-ba4b-483e-8578-b1f33f659f12.h5,signal1,Harmonic,1.0048571427712552,27008441190.564026,116603589.75885773,18575.0,26891837600.80517,89.5,-0.0035829171791121476,0.00017157868983425545,0.0,[-76959698.56775142  16461902.92030359    686810.00908256],1e-09,496.0409562502091,154.60765618550025,0.02,0.005
out_19ee09d1-7dc3-4ab0-81c7-fc7a3714e29c.h5,signal1,Harmonic,1.0048571427712552,27010116501.899124,118278901.093956,18575.0,26891837600.80517,89.5,-0.0005805318703071894,0.0024501478789238974,0.0,[ -952016.99864899 78694873.49904658  -686810.00908256],1e-09,496.0183846689361,154.60765618550025,0.02,0.005
out_bf673a72-ec9e-4b0b-9171-1ac0a8d600a6.h5,signal1,Harmonic,1.0048571427712552,27008546250.541126,116708649.7359581,18575.0,26891837600.80517,89.5,0.0007311238934268627,0.0030117237764537346,0.0,[-74329905.65845872 -25862222.955525      686810.00908256],1e-09,496.0395405561249,154.60765618550025,0.02,0.005
out_22d7b918-9d0d-4d18-a151-59cccb904101.h5,signal1,Harmonic,1.0048571427712552,27010211010.353218,118373409.54804993,18575.0,26891837600.80517,89.5,0.002253989406759626,0.0012144396855261882,0.0,[-43678417.65608865 -65467436.80989002   -686810.00908256],1e-09,496.0171115671856,154.60765618550025,0.02,0.005
out_26bf126d-9648-434f-84d6-76a99c419ca2.h5,signal1,Harmonic,1.0048571427712552,27008628500.366795,116790899.56162643,18575.0,26891837600.80517,89.5,-0.0010914259511291993,-0.0029924252079684506,0.0,[61463878.21309941 49152630.92044967   686810.00908256],1e-09,496.0384322511851,154.60765618550025,0.02,0.005
out_05e77000-bf5e-40af-9c20-d8ddd88dc6f9.h5,signal1,Harmonic,1.0048571427712552,27007927408.257137,116089807.45196915,18575.0,26891837600.80517,89.5,-0.003192905370652614,-0.0020002208080658695,0.0,[-65360811.10080702 -43837812.71506691   -686810.00908256],1e-09,496.0478799326154,154.60765618550025,0.02,0.005
out_842b0726-34ec-424c-ae9f-aa77eaf6fe8b.h5,signal1,Harmonic,1.0048571427712552,27010811073.169827,118973472.36465836,18575.0,26891837600.80517,89.5,0.0019927464609200015,-0.0007726535798583001,0.0,[-68695067.82925044 -38402826.81432892   -686810.00908256],1e-09,496.00902879882454,154.60765618550025,0.02,0.005
out_c0de4b37-fff3-47c6-bef8-31c91ab65159.h5,signal1,Harmonic,1.0048571427712552,27006571567.61738,114733966.81221008,18575.0,26891837600.80517,89.5,-0.0036178206063215367,0.0016603690321437096,0.0,[-20295111.57364693 -76038792.05780351   -686810.00908256],1e-09,496.06615440425907,154.60765618550025,0.02,0.005
out_bca2a4a7-763f-416d-acf3-62d4c5af56eb.h5,signal1,Harmonic,1.0048571427712552,27008664150.210747,116826549.40557861,18575.0,26891837600.80517,89.5,-0.0032167766010300016,2.25462076305113e-05,0.0,[-72418107.72814214 -30812450.80274954   -686810.00908256],1e-09,496.03795187995854,154.60765618550025,0.02,0.005
out_beff4c52-5576-49a3-897a-91e63c61a8d2.h5,signal1,Harmonic,1.0048571427712552,27010582029.324352,118744428.51918411,18575.0,26891837600.80517,89.5,-0.0012645799691473815,0.002125331806863151,0.0,[52393592.41579082 58725641.12178467   686810.00908256],1e-09,496.01211387954083,154.60765618550025,0.02,0.005
