File_name,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting position [metres],Starting velocity [metres/second],Time step [seconds],Trap length [metres],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_e1d8bd55-e00f-44e4-988b-a6d6ec60c6f3.h5,1.0,27058172674.472744,247529623.3104782,18575.0,26810643051.162266,86.8,[0.00385 0.      0.     ],[-78536946.66897619  -2628231.18404645  -4393354.99849868],1e-09,0.1,495.37400650228705,154.60765618550025,0.02,0.005
out_a4cd397a-9647-43d4-a1dc-f072d566401c.h5,1.0,27029468523.045868,218825471.88360214,18575.0,26810643051.162266,88.8,[0.00135 0.      0.     ],[-69354994.43606292 -37167582.60143517   1648244.43709414],1e-09,0.1,495.758180440316,154.60765618550025,0.02,0.005
out_3a22863e-9394-4732-81a6-7e09a230fc75.h5,1.0,27024367900.38345,213724849.22118378,18575.0,26810643051.162266,89.7,[0.00285 0.      0.     ],[-65907132.29890498  43015593.1481259    -412089.35290339],1e-09,0.1,495.82666863777604,154.60765618550025,0.02,0.005
out_173d3dbb-6f9e-42e5-8274-8bc8ca4507a6.h5,1.0,27030365812.142494,219722760.98022842,18575.0,26810643051.162266,88.7,[0.0003 0.     0.    ],[78544370.07811469 -4674912.68758676  1785575.4760964 ],1e-09,0.1,495.7461391078001,154.60765618550025,0.02,0.005
out_931f44dd-b753-4f9e-ae66-d6f9aafdfe8d.h5,1.0,27054545147.831837,243902096.66957092,18575.0,26810643051.162266,87.0,[0.00025 0.      0.     ],[-78434552.12231334   5031479.64158373   4119029.66409281],1e-09,0.1,495.42244028078443,154.60765618550025,0.02,0.005
out_a22e274f-1073-4e68-a612-1b7e726745a0.h5,1.0,27024109211.67887,213466160.51660538,18575.0,26810643051.162266,89.8,[0.0038 0.     0.    ],[48171635.57374774 62238888.25041582   274726.93265739],1e-09,0.1,495.8301439492887,154.60765618550025,0.02,0.005
out_84df64db-7d20-48dd-94f4-968910b0c4d0.h5,1.0,27034071190.99027,223428139.82800293,18575.0,26810643051.162266,88.3,[0.00495 0.      0.     ],[44820192.73730098 64652610.15313767  2334841.05729442],1e-09,0.1,495.6964360946149,154.60765618550025,0.02,0.005
out_602e09cf-56e8-4de4-935e-828d16332d91.h5,1.0,27033322477.215855,222679426.05358887,18575.0,26810643051.162266,88.4,[0.00015 0.      0.     ],[-61725980.42995591  48778431.11881518   2197534.28481529],1e-09,0.1,495.7064762988782,154.60765618550025,0.02,0.005
out_8068bd2e-d60a-4868-a38c-94ad85d6408b.h5,1.0,27046194670.313435,235551619.15116882,18575.0,26810643051.162266,87.4,[0.0048 0.     0.    ],[-10600796.33661184  77904670.72977467   3570231.77123046],1e-09,0.1,495.5340618033025,154.60765618550025,0.02,0.005
out_ed459d57-e1b9-464a-b286-2892a5b71359.h5,1.0,27048508655.882942,237865604.72067642,18575.0,26810643051.162266,87.3,[-0.00050766 -0.00202634  0.        ],[49145492.30185228 61361523.53594438 -3707448.60268611],1e-09,0.1,495.5031126542921,154.60765618550025,0.02,0.005
